"phylum","effect","group","term","estimate","std.error","statistic","df","p.value","p.adj"
"Bacteroidota","fixed",NA,"dietHFHS",-0.0560225005478945,0.0338841844469452,-1.65335248471489,13.0128453309338,0.122167780164541,0.366503340493622
"Bacteroidota","fixed",NA,"treatmentFOS+GOS",0.0296236807363906,0.0339293686720094,0.873098495370152,9.92910137170125,0.403230544332201,0.692968098078683
"Bacteroidota","fixed",NA,"treatmentB. longum APC1472",0.0329261890142142,0.0337357195602988,0.976003756355702,13.2981440794884,0.346484049039342,0.692968098078683
"Bacteroidota","ran_pars","dam_cage","sd__(Intercept)",0.0272948741352248,NA,NA,NA,NA,NA
"Bacteroidota","ran_pars","cohort","sd__(Intercept)",0.0209596890731588,NA,NA,NA,NA,NA
"Bacteroidota","ran_pars","Residual","sd__Observation",0.141447984335429,NA,NA,NA,NA,NA
"Firmicutes","fixed",NA,"dietHFHS",0.102192660891632,0.040843062137582,2.50208127263796,18.0670035595891,0.022171640091714,0.0443432801834279
"Firmicutes","fixed",NA,"treatmentFOS+GOS",-0.169317668855592,0.0417609015463976,-4.05445434810536,16.1111572664141,0.000908800774381664,0.00272640232314499
"Firmicutes","fixed",NA,"treatmentB. longum APC1472",-0.0122538426500819,0.0408150279390447,-0.300228696851132,17.9351083462257,0.767454838123183,0.767454838123183
"Firmicutes","ran_pars","dam_cage","sd__(Intercept)",0.0517592091296715,NA,NA,NA,NA,NA
"Firmicutes","ran_pars","cohort","sd__(Intercept)",0.022896814081288,NA,NA,NA,NA,NA
"Firmicutes","ran_pars","Residual","sd__Observation",0.128327036088244,NA,NA,NA,NA,NA
"Verrucomicrobiota","fixed",NA,"dietHFHS",0.0318924926404683,0.0353881442328531,0.901219697495764,17.5928835392485,0.37964390298391,0.759287805967819
"Verrucomicrobiota","fixed",NA,"treatmentFOS+GOS",0.0675664943767607,0.0365176490545202,1.85024217402071,16.0969812801285,0.0827212403777846,0.330884961511139
"Verrucomicrobiota","fixed",NA,"treatmentB. longum APC1472",-0.00244000598847144,0.0356611853823316,-0.0684218979910955,18.170373361188,0.946197121979764,0.946197121979764
"Verrucomicrobiota","ran_pars","dam_cage","sd__(Intercept)",0.0520537634428686,NA,NA,NA,NA,NA
